Trial,Treatment,Density,Code
1,1.Live,141.9015767,0
5,1.Live,141.9015767,0
9,1.Live,141.9015767,0
13,1.Live,141.9015767,0
17,1.Live,141.9015767,0
21,1.Live,141.9015767,0
67,1.Live,141.9015767,0
71,1.Live,141.9015767,0
75,1.Live,141.9015767,0
79,1.Live,141.9015767,0
2,1.Live,165.4903068,0
7,1.Live,165.4903068,0
11,1.Live,165.4903068,0
15,1.Live,165.4903068,1
19,1.Live,165.4903068,0
23,1.Live,165.4903068,0
66,1.Live,165.4903068,0
70,1.Live,165.4903068,0
74,1.Live,165.4903068,0
78,1.Live,165.4903068,0
3,1.Live,186.4801865,0
6,1.Live,186.4801865,0
10,1.Live,186.4801865,0
14,1.Live,186.4801865,0
18,1.Live,186.4801865,0
22,1.Live,186.4801865,0
65,1.Live,186.4801865,1
69,1.Live,186.4801865,0
73,1.Live,186.4801865,0
77,1.Live,186.4801865,1
4,1.Live,325.9259259,0
8,1.Live,325.9259259,0
12,1.Live,325.9259259,0
16,1.Live,325.9259259,1
20,1.Live,325.9259259,1
24,1.Live,325.9259259,1
68,1.Live,325.9259259,0
72,1.Live,325.9259259,0
76,1.Live,325.9259259,1
80,1.Live,325.9259259,1
81,1.Live,662.8471167,1
82,1.Live,662.8471167,1
83,1.Live,662.8471167,1
84,1.Live,662.8471167,1
85,1.Live,662.8471167,1
86,1.Live,662.8471167,1
87,1.Live,662.8471167,1
88,1.Live,662.8471167,1
90,1.Live,662.8471167,1
92,1.Live,662.8471167,1
27,2.Degraded,141.9015767,0
31,2.Degraded,141.9015767,0
35,2.Degraded,141.9015767,0
39,2.Degraded,141.9015767,0
43,2.Degraded,141.9015767,0
47,2.Degraded,141.9015767,0
51,2.Degraded,141.9015767,0
55,2.Degraded,141.9015767,0
59,2.Degraded,141.9015767,0
63,2.Degraded,141.9015767,0
25,2.Degraded,165.4903068,0
30,2.Degraded,165.4903068,0
34,2.Degraded,165.4903068,0
38,2.Degraded,165.4903068,0
42,2.Degraded,165.4903068,0
46,2.Degraded,165.4903068,0
50,2.Degraded,165.4903068,0
54,2.Degraded,165.4903068,0
58,2.Degraded,165.4903068,0
62,2.Degraded,165.4903068,0
26,2.Degraded,186.4801865,0
29,2.Degraded,186.4801865,0
33,2.Degraded,186.4801865,0
37,2.Degraded,186.4801865,0
41,2.Degraded,186.4801865,0
45,2.Degraded,186.4801865,0
49,2.Degraded,186.4801865,0
53,2.Degraded,186.4801865,0
57,2.Degraded,186.4801865,0
61,2.Degraded,186.4801865,1
28,2.Degraded,325.9259259,1
32,2.Degraded,325.9259259,0
36,2.Degraded,325.9259259,1
40,2.Degraded,325.9259259,0
44,2.Degraded,325.9259259,0
48,2.Degraded,325.9259259,0
52,2.Degraded,325.9259259,0
56,2.Degraded,325.9259259,1
60,2.Degraded,325.9259259,0
64,2.Degraded,325.9259259,1
89,2.Degraded,662.8471167,1
91,2.Degraded,662.8471167,1
93,2.Degraded,662.8471167,1
94,2.Degraded,662.8471167,0
95,2.Degraded,662.8471167,1
96,2.Degraded,662.8471167,1
97,2.Degraded,662.8471167,1
98,2.Degraded,662.8471167,1
99,2.Degraded,662.8471167,1
100,2.Degraded,662.8471167,1
