,Date,Code,Transect,adult,juv,col_m2,type,uo_DC,o_DC,DC,uo_LC,o_LC,LC,COTS,period,juv2,prop.dc
162,12/06/2013,S3-2,T2,1,1,0.02,Dead,0,1,1,21,14,35,0,1,0,0.027777778
282,03/05/2013,R1,T1,1,0,0.45,Dead,5,1,6,36,6,42,0,1,0,0.125
8,03/10/2013,S_3-2,T2,3,0,0.166,Dead,16,2,18,17,12,29,4,1,0,0.382978723
24,03/10/2013,S_3-2,T2,23,0,0.331,Dead,16,2,18,17,12,29,4,1,0,0.382978723
1,03/10/2013,S_3-3,T3,1,0,0.2,Dead,19,6,25,18,13,31,1,1,0,0.446428571
3,03/10/2013,S_3-3,T3,1,0,0.118,Dead,19,6,25,18,13,31,1,1,0,0.446428571
2,03/10/2013,S_3-3,T3,2,0,0.281,Dead,19,6,25,18,13,31,1,1,0,0.446428571
10,03/10/2013,S_3-3,T3,2,0,0.078,Dead,19,6,25,18,13,31,1,1,0,0.446428571
17,03/10/2013,S_3-3,T3,2,0,0.05,Dead,19,6,25,18,13,31,1,1,0,0.446428571
5,03/10/2013,S_3-3,T3,3,0,0.196,Dead,19,6,25,18,13,31,1,1,0,0.446428571
96,12/06/2013,S1-5,T2,1,0,0.1,Dead,6,1,7,5,2,7,2,1,2,0.5
80,14/06/2013,MD3,T3,2,2,0.08,Dead,3,2,5,0,5,5,0,1,2,0.5
88,14/06/2013,MD3,T3,3,3,0.07,Dead,3,2,5,0,5,5,0,1,2,0.5
11,03/10/2013,S_3-1,T1,1,0,0.032,Dead,27,3,30,16,11,27,2,1,2,0.526315789
9,03/10/2013,S_3-1,T1,3,0,0.136,Dead,27,3,30,16,11,27,2,1,2,0.526315789
4,03/10/2013,S_3-1,T1,5,0,0.357,Dead,27,3,30,16,11,27,2,1,2,0.526315789
77,14/06/2013,MD1,T1,1,1,0.05,Dead,14,2,16,6,7,13,2,1,4,0.551724138
71,14/06/2013,MD1,T1,3,0,0.1,Dead,14,2,16,6,7,13,2,1,4,0.551724138
364,23/04/2013,K2,T2,2,0,0.05,Dead,22,1,23,16,1,17,17,1,1,0.575
322,24/04/2013,LL1,T1,12,0,0.55,Dead,13,2,15,6,5,11,0,1,4,0.576923077
328,24/04/2013,LL1,T1,16,0,0.56,Dead,13,2,15,6,5,11,0,1,4,0.576923077
367,23/04/2013,K3,T3,4,0,0.07,Dead,23,1,24,10,5,15,23,1,1,0.615384615
121,12/06/2013,S2-1,T1,1,1,0.05,Dead,12,3,15,3,6,9,0,1,2,0.625
